DB,Rate,Avg_CPU%,Max_CPU%,Avg_Mem_MB,Max_Mem_MB
baseline,10,0.1285,0.63,20.2405,20.68
baseline,20,0.073,0.36,20.2935,20.71
baseline,40,0.09633333333333334,0.55,20.738166666666665,21.48
baseline,60,0.18683333333333335,1.41,21.008,22.35
baseline,80,0.1375,0.41,20.947,21.55
baseline,100,0.14816666666666667,0.41,20.968333333333327,21.6
baseline,200,0.269,0.74,21.116500000000006,21.68
baseline,500,0.5764999999999999,1.61,21.29016666666667,22.61
baseline,1000,1.2788333333333335,4.83,21.636166666666668,22.4
influxdb,10,0.1585,0.86,176.12166666666664,180.1
influxdb,20,0.18899999999999997,2.19,174.44666666666666,174.7
influxdb,40,0.23583333333333337,0.89,183.35166666666657,190.6
influxdb,60,0.2838333333333332,2.9,190.01333333333332,190.4
influxdb,80,0.3845,6.47,190.21000000000004,190.6
influxdb,100,0.32949999999999996,0.69,190.85999999999999,191.9
influxdb,200,0.9150000000000001,6.77,192.6,194.7
influxdb,500,1.4709999999999996,8.76,191.645,194.9
influxdb,1000,2.940833333333333,11.17,193.29833333333335,197.1
timescaledb,10,1.329,3.65,77.34716666666667,78.34
timescaledb,20,0.10733333333333331,1.83,77.45833333333331,78.21
timescaledb,40,0.11299999999999999,0.53,77.38083333333334,77.8
timescaledb,60,0.1435,0.53,77.43133333333334,77.88
timescaledb,80,1.2313333333333332,2.29,77.83766666666666,78.43
timescaledb,100,0.6281666666666668,1.74,77.68866666666668,78.32
timescaledb,200,1.1656666666666669,5.63,77.94833333333334,78.55
timescaledb,500,0.8450000000000001,1.72,77.96783333333333,78.52
timescaledb,1000,1.578,6.8,78.39216666666668,79.0
victoriametrics,10,0.6956666666666667,1.42,107.78633333333333,130.6
victoriametrics,20,0.8225,2.6,117.84633333333336,135.4
victoriametrics,40,0.7146666666666666,2.29,119.53783333333335,145.8
victoriametrics,60,0.7473333333333331,1.81,112.4725,133.8
victoriametrics,80,1.0531666666666668,5.05,122.60600000000001,147.3
victoriametrics,100,1.0870000000000002,5.92,122.0495,143.5
victoriametrics,200,1.0073333333333334,6.77,122.85033333333334,140.0
victoriametrics,500,1.449,3.56,128.3815,149.9
victoriametrics,1000,2.3906666666666667,19.56,122.91866666666668,145.1
